exp_id,branch,benchmark,seed,budget_s,final_cost,hpwl,density,congestion,wall_clock_s,timestamp,notes
baseline,optimized_v3@1ddc37a,ibm01,42,550,0.8000,0.072,0.565,0.891,544.0,2026-04-24T21:08:23Z,
baseline,optimized_v3@1ddc37a,ibm01,43,550,0.7998,0.072,0.561,0.895,542.8,2026-04-24T21:18:58Z,
baseline,optimized_v3@1ddc37a,ibm01,44,550,0.8019,0.072,0.567,0.892,544.8,2026-04-24T21:28:01Z,
exp0_per_net_pos_leak,exp0_per_net_pos_leak@e17619d,ibm01,42,550,0.7899,0.072,0.557,0.879,550.1,2026-04-24T21:37:06Z,
exp0_per_net_pos_leak,exp0_per_net_pos_leak@e17619d,ibm01,43,550,0.7951,0.072,0.563,0.884,544.2,2026-04-24T21:46:16Z,
exp0_per_net_pos_leak,exp0_per_net_pos_leak@e17619d,ibm01,44,550,0.7961,0.072,0.563,0.885,548.1,2026-04-24T21:55:20Z,
exp14_cand_120,exp14_destroy_param@71503a2,ibm01,42,550,0.8006,0.072,0.569,0.889,545.7,2026-04-24T22:27:33Z,PLACER_ESC_HARD_CAND=120
exp6_sa_t0_0003,exp6_sa_cd@91351fd,ibm01,42,550,0.8048,0.073,0.558,0.906,548.2,2026-04-24T22:27:33Z,PLACER_SA_T0=0.0003
exp14_destroy_60,exp14_destroy_param@71503a2,ibm01,42,550,0.7966,0.072,0.567,0.882,548.3,2026-04-24T22:27:33Z,PLACER_ESC_HARD_DESTROY=60
exp6_sa_t0_0010,exp6_sa_cd@91351fd,ibm01,42,550,0.8087,0.076,0.558,0.906,548.3,2026-04-24T22:27:33Z,PLACER_SA_T0=0.001
exp14_destroy_40,exp14_destroy_param@71503a2,ibm01,42,550,0.7968,0.072,0.569,0.881,549.0,2026-04-24T22:27:33Z,PLACER_ESC_HARD_DESTROY=40
exp6_sa_t0_0001,exp6_sa_cd@91351fd,ibm01,42,550,0.7854,0.076,0.534,0.886,545.5,2026-04-24T22:31:03Z,PLACER_SA_T0=0.0001
exp6_sa_t0_0030,exp6_sa_cd@91351fd,ibm01,42,550,0.8229,0.077,0.566,0.924,546.7,2026-04-24T22:31:03Z,PLACER_SA_T0=0.003
exp14_destroy_80,exp14_destroy_param@71503a2,ibm01,42,550,0.7945,0.072,0.562,0.884,548.7,2026-04-24T22:31:03Z,PLACER_ESC_HARD_DESTROY=80
exp7_linesearch,exp7_linesearch@8323fdb,ibm01,42,550,0.7938,0.071,0.560,0.885,544.3,2026-04-24T22:31:40Z,
exp0_baseline,exp0_per_net_pos_leak@e17619d,ibm01,42,550,0.7915,0.073,0.548,0.890,545.6,2026-04-24T22:31:40Z,
r2_sa_t0_00010,master_grid@94d3104,ibm01,42,550,0.7996,0.075,0.546,0.903,551.7,2026-04-24T22:45:07Z,PLACER_SA_T0=0.0001
r2_plateau_8,master_grid@94d3104,ibm01,42,550,0.7974,0.073,0.546,0.902,551.7,2026-04-24T22:45:07Z,PLACER_PLATEAU_N=8
