bench,n_macros,v7_proxy,v7_wl,v7_d,v7_c,lp_wl_lb,F_alpha_0,F_alpha_0.5,F_alpha_10
ibm01,1140,0.7653,0.099,0.453,0.860,0.0161,0.0119,0.1492,0.2829
ibm02,1346,0.9482,0.077,0.589,1.154,0.0121,0.0088,0.1450,0.2839
ibm03,1438,0.9166,0.092,0.504,1.145,0.0160,0.0090,0.2019,0.3637
ibm04,1380,0.9287,0.078,0.526,1.176,0.0128,0.0046,0.1431,0.2709
ibm06,1078,1.0546,0.076,0.528,1.429,0.0070,0.0017,0.0808,0.1451
ibm07,1331,1.0324,0.080,0.534,1.371,0.0079,0.0013,0.1039,0.2023
ibm08,1331,1.0291,0.079,0.550,1.350,0.0128,0.0192,0.1260,0.2279
ibm09,1301,0.7628,0.099,0.453,0.835,0.0088,0.0053,0.1298,0.2639
ibm10,2768,0.9492,0.063,0.514,1.258,0.0110,0.0221,0.2973,0.5471
ibm11,1568,0.8013,0.063,0.508,0.968,0.0086,0.0020,0.1418,0.2995
ibm12,2636,1.1557,0.077,0.558,1.601,0.0117,0.0295,0.2348,0.4090
ibm13,1725,0.8757,0.064,0.527,1.096,0.0086,0.0021,0.1635,0.3461
ibm14,2143,1.1070,0.060,0.571,1.524,0.0046,-0.0011,0.0926,0.1950
ibm15,1531,1.0835,0.072,0.573,1.450,0.0050,0.0121,0.1066,0.2087
ibm16,1773,1.0435,0.058,0.549,1.422,0.0053,0.0177,0.1165,0.2220
ibm17,2604,1.2813,0.072,0.604,1.626,0.0038,0.0055,0.1155,0.2349
ibm18,1314,1.2697,0.065,0.679,1.731,0.0022,0.0019,0.0577,0.1171
