bench,n_macros,n_nets,n_pins,hpwl_x_lb,hpwl_y_lb,hpwl_raw_lb,hpwl_normalized_lb,wall_x_s,wall_y_s
ibm01,1140,5993,16815,2717.0080162000004,2674.5366147000004,5391.544630900001,0.016127799890763222,0.88,0.87
ibm02,1346,9668,31694,4339.432188,4275.0540363,8614.486224299999,0.012102435141549196,1.96,2.28
ibm03,1438,7674,25127,5671.317929400001,5859.4643587,11530.782288100001,0.016038821563621426,2.23,2.09
ibm04,1380,9642,27504,6036.835284300001,5825.7870963,11862.622380600002,0.012837719726980638,2.27,2.41
ibm06,1078,9964,33993,3264.181071,3161.5599437,6425.7410147,0.0069874658391198925,1.43,1.41
ibm07,1331,13964,41031,6227.5484506,5817.7874485699995,12045.33589917,0.007862248564646051,3.15,3.43
ibm08,1331,15042,46509,11510.827470600001,10168.643444219997,21679.470914819998,0.012774309154817766,7.04,8.29
ibm09,1301,12342,36570,7885.5773298,7260.61483223,15146.19216203,0.008820877986901773,2.37,2.45
ibm10,2768,28272,80293,33211.70373185,33069.714738619994,66281.41847047,0.010984267489903986,43.43,40.73
ibm11,1568,16086,45131,11058.3235042,11314.60664817,22372.930152369998,0.008590492703662418,3.22,3.74
ibm12,2636,28939,83023,33818.00164450001,31337.047589299997,65155.049233800004,0.01168862687504324,52.18,48.78
ibm13,1725,17527,53885,13573.788521100001,13697.743501699999,27271.5320228,0.008638925418977175,5.45,6.2
ibm14,2143,32008,94204,16060.4581607,15367.277236999998,31427.7353977,0.004573728515026658,40.71,37.88
ibm15,1531,24958,75407,15877.930146799998,15587.814940142001,31465.745086942,0.0050100862497398525,7.51,8.79
ibm16,1773,36681,105266,29604.0201908,28275.468784299996,57879.4889751,0.005318249748472039,63.36,57.61
ibm17,2604,45825,133186,22711.2667617,22611.6193681,45322.8861298,0.0037537304942677056,41.12,43.73
ibm18,1314,26184,82319,7523.010387000001,7490.0251767,15013.035563700001,0.0021516778493741767,6.75,7.59
