bench,n_macros,alpha,F_norm,wall_s
ibm01,1140,0.0,0.011941281641458013,0.027238845825195312
ibm01,1140,0.001,0.003273002863736851,0.024821043014526367
ibm01,1140,0.01,0.011057296251331736,0.024153947830200195
ibm01,1140,0.1,0.06506527681824306,0.02408576011657715
ibm01,1140,0.5,0.14923080264273678,0.02401900291442871
ibm01,1140,1.0,0.1879295195797971,0.024008989334106445
ibm01,1140,10.0,0.2829402071297977,0.024623870849609375
ibm02,1346,0.0,0.008836117175214972,0.07097697257995605
ibm02,1346,0.001,0.001140315265380304,0.06794977188110352
ibm02,1346,0.01,0.009773293765278909,0.0686807632446289
ibm02,1346,0.1,0.065997921417767,0.06961703300476074
ibm02,1346,0.5,0.14504252500349835,0.06681323051452637
ibm02,1346,1.0,0.1813938832457895,0.06616497039794922
ibm02,1346,10.0,0.2839283793974786,0.06662297248840332
ibm03,1438,0.0,0.008954177265099937,0.11760115623474121
ibm03,1438,0.001,0.00473053312704413,0.11564993858337402
ibm03,1438,0.01,0.015574860933385927,0.1231999397277832
ibm03,1438,0.1,0.0918329464124347,0.12051701545715332
ibm03,1438,0.5,0.20191269782423996,0.1160428524017334
ibm03,1438,1.0,0.24598025244761257,0.11323285102844238
ibm03,1438,10.0,0.3637017599154312,0.11444664001464844
ibm04,1380,0.0,0.004566466614177171,0.06899905204772949
ibm04,1380,0.001,0.0046790346596624335,0.06713724136352539
ibm04,1380,0.01,0.01229093245668528,0.06740093231201172
ibm04,1380,0.1,0.06527367700157904,0.06730127334594727
ibm04,1380,0.5,0.14307967653767892,0.06749296188354492
ibm04,1380,1.0,0.17673674882379212,0.06723618507385254
ibm04,1380,10.0,0.27090196398869487,0.06722116470336914
ibm06,1078,0.0,0.0017249515657977625,0.05646800994873047
ibm06,1078,0.001,-0.0027884812129656427,0.057129859924316406
ibm06,1078,0.01,0.0025282902771794425,0.05537891387939453
ibm06,1078,0.1,0.03722800273488736,0.055320024490356445
ibm06,1078,0.5,0.08084721930401549,0.055230140686035156
ibm06,1078,1.0,0.09758633998998557,0.05725598335266113
ibm06,1078,10.0,0.14507126400696235,0.05632805824279785
ibm07,1331,0.0,0.0013418501350486675,0.04572796821594238
ibm07,1331,0.001,-0.0019750989496675163,0.04314708709716797
ibm07,1331,0.01,0.003567477525312312,0.04400467872619629
ibm07,1331,0.1,0.04333146590557215,0.044882774353027344
ibm07,1331,0.5,0.10387636189105938,0.0442960262298584
ibm07,1331,1.0,0.12963916071953133,0.043692827224731445
