bench,n_macros,n_hard,n_ports,n_nets,n_dropped_large_nets,n_edges,max_degree,treewidth_ub_md,treewidth_ub_mf,treewidth_ub,fill_in_md,fill_in_mf,wall_s_md,wall_s_mf
ibm01,1140,246,0,7269,0,10258,100,167,N/A,167,47431,N/A,0.1,0.0
ibm02,1346,271,0,10944,2,27504,128,310,N/A,310,135465,N/A,0.46,0.0
ibm03,1438,290,0,10247,0,20814,180,414,N/A,414,141129,N/A,0.55,0.0
ibm04,1380,295,0,13555,0,20922,123,300,N/A,300,123557,N/A,0.39,0.0
ibm06,1078,178,0,14085,0,26270,174,421,N/A,421,120917,N/A,0.5,0.0
ibm07,1331,291,0,19920,0,16635,90,290,N/A,290,96388,N/A,0.3,0.0
ibm08,1331,301,0,20694,0,24858,170,428,N/A,428,139259,N/A,0.54,0.0
ibm09,1301,253,0,18341,0,13546,169,207,N/A,207,60202,N/A,0.15,0.0
ibm10,2768,786,0,39140,0,33279,146,507,N/A,507,262322,N/A,1.2,0.0
ibm11,1568,373,0,25273,0,16787,111,290,N/A,290,100225,N/A,0.3,0.0
ibm12,2636,651,0,40996,0,34060,147,669,N/A,669,399813,N/A,2.23,0.0
ibm13,1725,424,0,28201,0,25793,143,368,N/A,368,126309,N/A,0.47,0.0
ibm14,2143,614,0,57333,0,28186,115,390,N/A,390,154468,N/A,0.58,0.0
ibm15,1531,393,383,24958,0,21529,115,322,N/A,322,95617,N/A,0.32,0.0
ibm16,1773,458,0,67118,0,26460,207,353,N/A,353,166909,N/A,0.61,0.0
ibm17,2604,760,0,83132,0,35565,115,437,N/A,437,279571,N/A,1.19,0.0
ibm18,1314,285,0,53763,0,19161,151,289,N/A,289,78324,N/A,0.27,0.0
