benchmark,proxy_cost,wirelength_cost,density_cost,congestion_cost,overlap_count,wall_clock_s,exit_code,verified,delta,timestamp
ibm12,1.1444,0.076,0.566,1.570,0,3641,0,1.1557,-0.0113,2026-05-07T00:41:51Z
ibm06,1.0486,0.075,0.537,1.410,0,3503,0,1.0546,-0.0060,2026-05-07T01:40:14Z
ibm18,1.2692,0.066,0.687,1.719,0,3618,0,1.2697,-0.0005,2026-05-07T02:40:32Z
ibm07,1.0320,0.078,0.545,1.363,0,3514,0,1.0324,-0.0004,2026-05-07T03:39:06Z
ibm03,0.8963,0.091,0.506,1.106,0,3503,0,0.9166,-0.0203,2026-05-07T04:37:29Z
ibm08,1.0266,0.078,0.548,1.349,0,3506,0,1.0291,-0.0025,2026-05-07T05:35:55Z
ibm15,1.0888,0.071,0.581,1.454,0,3591,0,1.0835,+0.0053,2026-05-07T06:35:46Z
ibm02,0.9389,0.078,0.598,1.123,0,3508,0,0.9482,-0.0093,2026-05-07T07:34:14Z
ibm04,0.9172,0.078,0.519,1.159,0,3473,0,0.9287,-0.0115,2026-05-07T08:32:07Z
ibm16,1.0527,0.058,0.553,1.436,0,3246,0,1.0435,+0.0092,2026-05-07T09:26:13Z
ibm17,1.2743,0.064,0.579,1.842,0,3386,0,1.2813,-0.0070,2026-05-07T10:22:39Z
ibm13,0.8781,0.062,0.528,1.104,0,3536,0,0.8757,+0.0024,2026-05-07T11:21:35Z
ibm10,0.9529,0.065,0.516,1.260,0,2786,0,0.9492,+0.0037,2026-05-07T12:08:01Z
ibm14,1.1111,0.060,0.570,1.531,0,3671,0,1.1070,+0.0041,2026-05-07T13:09:12Z
ibm01,0.7700,0.072,0.529,0.868,0,2530,0,0.7653,+0.0047,2026-05-07T13:51:22Z
ibm11,0.7954,0.063,0.516,0.948,0,3534,0,0.8013,-0.0059,2026-05-07T14:50:16Z
ibm09,0.7610,0.061,0.528,0.872,0,3459,0,0.7628,-0.0018,2026-05-07T15:47:55Z
